investor_count,select_investors,total_raised
3,"Insight Partners, TPG Alternative & Renewable Technologies, Ireland Strategic Investment Fund",617570000.0
13,"Qiming Venture Partners, Capital Today, General Atlantic",4880000000.0
16,"Nexus Venture Partners, Tenaya Capital, Sequoia Capital",4750000000.0
15,"GGV Capital, IDG Capital, Linear Venture",3120000000.0
8,"Magma Venture Partners, Pitango Venture Capital, Qumra Capital",303100000.0
11,"Bertelsmann Asia Investments, GGV Capital, Morningside Venture Capital",614490000.0
13,"Viola Ventures, Dell Technologies Capital, Bain Capital Ventures",3550000000.0
29,"Matrix Partners China, Eastern Bell Capital, Hongtai Capital Holdings",953500000.0
14,"Blackrock, capitalG, World Lab Innovation",367170000.0
15,"Caffeinated Capital, Obvious Ventures, Venrock",376500000.0
1,Blackstone,0.0
6,"Jerusalem Venture Partners, Israel Growth Partners, Insight Partners",98500000.0
9,"Tiantu Capital, CMB International Capital, Vision Knight Capital",423440000.0
15,"Qiming Venture Partners, Kleiner Perkins Caufield & Byers, OrbiMed Advisors",4490000000.0
23,"Highland Capital Partners, Oak HC/FT Partners, Emergence Capital Partners",935010000.0
5,"Tomales Bay Capital, Bain & Company, General Catalyst",850000000.0
10,"Index Ventures, Creandum, Accel",570990000.0
6,"Meritech Capital Partners, Tiger Global Management, Spectrum Equity",5500000000.0
1,"Sequoia Capital, Google Ventures, Accel",5200000.0
13,"Accel, frst, Kima Ventures",497240000.0
18,"Matrix Partners China, Sequoia Capital China, Genesis Capital",421180000.0
36,"next47, MaC Venture Capital, FinVC",3660000000.0
18,"CRV, Blue Cloud Ventures, Index Ventures",342400000.0
1,Undisclosed,2280000000.0
15,"Alta Ventures Mexico, General Atlantic, SoftBank Group",397360000.0
15,"Qualcomm Ventures, SoftBank Group. Monashees+",484320000.0
