ID,Industry
UC_769,Cybersecurity
UC_770,Internet software & services
UC_771,"Supply chain, logistics, & delivery"
UC_773,Other
UC_774,Fintech
UC_775,"Supply chain, logistics, & delivery"
UC_776,E-commerce & direct-to-consumer
UC_777,E-commerce & direct-to-consumer
UC_778,Data management & analytics
UC_779,Mobile & telecommunications
UC_780,Hardware
UC_781,Internet software & services
UC_782,Health
UC_783,Artificial intelligence
UC_784,Auto & transportation
UC_785,Cybersecurity
UC_786,E-commerce & direct-to-consumer
UC_787,E-commerce & direct-to-consumer
UC_788,Mobile & telecommunications
UC_789,Mobile & telecommunications
UC_790,Other
UC_791,E-commerce & direct-to-consumer
UC_792,E-commerce & direct-to-consumer
UC_794,Artificial intelligence
UC_795,Mobile & telecommunications
UC_796,Internet software & services
UC_797,E-commerce & direct-to-consumer
UC_798,Internet software & services
UC_799,E-commerce & direct-to-consumer
UC_800,Edtech
UC_801,Edtech
UC_802,Health
UC_803,Artificial intelligence
UC_804,Internet software & services
UC_805,Consumer & retail
UC_806,Consumer & retail
UC_807,E-commerce & direct-to-consumer
UC_808,Health
UC_809,E-commerce & direct-to-consumer
UC_810,E-commerce & direct-to-consumer
UC_811,Mobile & telecommunications
UC_812,"Supply chain, logistics, & delivery"
UC_813,Other
UC_814,"Sequoia Capital China, ING, Alibaba Entrepreneurs Fund"
UC_815,Mobile & telecommunications
UC_816,Health
UC_817,Hardware
UC_818,Mobile & telecommunications
UC_819,Edtech
UC_820,Hardware
UC_821,Health
UC_822,Internet software & services
UC_823,Mobile & telecommunications
UC_825,Consumer & retail
UC_826,Mobile & telecommunications
UC_827,"Supply chain, logistics, & delivery"
UC_828,Auto & transportation
UC_829,Fintech
UC_830,Artificial intelligence
UC_831,E-commerce & direct-to-consumer
UC_832,Travel
UC_833,Hardware
UC_834,Hardware
UC_835,"Supply chain, logistics, & delivery"
UC_836,Hardware
UC_837,"Supply chain, logistics, & delivery"
UC_838,Artificial intelligence
UC_839,Other
UC_840,Artificial intelligence
UC_841,Fintech
UC_842,Mobile & telecommunications
UC_843,Internet software & services
UC_844,Other
UC_845,Edtech
UC_846,Travel
UC_847,Artificial intelligence
UC_848,Fintech
UC_849,Fintech
UC_850,Fintech
UC_852,Fintech
UC_853,E-commerce & direct-to-consumer
UC_854,Health
UC_855,E-commerce & direct-to-consumer
UC_856,Other
UC_857,Edtech
UC_858,Health
UC_859,E-commerce & direct-to-consumer
UC_860,Mobile & telecommunications
UC_861,E-commerce & direct-to-consumer
UC_862,Other
UC_864,"Supply chain, logistics, & delivery"
UC_865,Other
UC_866,Fintech
UC_867,Data management & analytics
UC_868,Internet software & services
UC_869,E-commerce & direct-to-consumer
UC_870,Fintech
UC_871,Internet software & services
UC_872,Internet software & services
UC_873,"Supply chain, logistics, & delivery"
UC_874,Other
UC_875,Hardware
UC_876,Artificial intelligence
UC_877,Other
UC_878,Fintech
UC_879,"Supply chain, logistics, & delivery"
UC_880,Internet software & services
UC_881,Cybersecurity
UC_882,"Sequoia Capital China, Shunwei Capital Partners, Qualgro"
UC_883,Health
UC_884,Fintech
UC_885,Artificial intelligence
UC_886,Edtech
UC_887,Internet software & services
UC_888,E-commerce & direct-to-consumer
UC_890,E-commerce & direct-to-consumer
UC_891,Fintech
UC_892,Artificial intelligence
UC_893,Health
UC_894,Fintech
UC_895,Artificial intelligence
UC_897,Health
UC_898,Artificial intelligence
UC_899,Internet software & services
UC_900,Internet software & services
UC_901,Other
UC_902,Internet software & services
UC_903,Artificial intelligence
UC_904,Artificial intelligence
UC_905,Consumer & retail
UC_906,Fintech
UC_907,Data management & analytics
UC_909,Fintech
UC_910,Other
UC_912,"Supply chain, logistics, & delivery"
UC_913,Health
UC_914,Health
UC_915,Hardware
UC_916,"SingTel Innov8, Alpha JWC Ventures, Golden Gate Ventures"
UC_917,Artificial intelligence
UC_918,"Supply chain, logistics, & delivery"
UC_919,Cybersecurity
UC_920,Edtech
UC_921,Internet software & services
UC_922,Fintech
UC_923,Internet software & services
UC_924,Internet software & services
UC_925,"Supply chain, logistics, & delivery"
UC_926,"Supply chain, logistics, & delivery"
UC_927,"Supply chain, logistics, & delivery"
UC_928,"Mundi Ventures, Doqling Capital Partners, Activant Capital"
UC_929,Fintech
UC_930,Fintech
UC_931,Artificial intelligence
UC_932,Fintech
UC_933,Internet software & services
UC_934,Fintech
UC_936,Internet software & services
UC_937,Fintech
UC_938,"Supply chain, logistics, & delivery"
UC_939,"Vertex Ventures SE Asia, Global Founders Capital, Visa Ventures"
UC_940,Artificial intelligence
UC_941,Fintech
UC_942,Artificial intelligence
UC_943,Fintech
UC_944,Artificial intelligence
UC_945,E-commerce & direct-to-consumer
UC_946,Health
UC_947,Fintech
UC_948,Artificial intelligence
UC_950,Hardware
UC_951,"Andreessen Horowitz, DST Global, IDG Capital"
UC_952,E-commerce & direct-to-consumer
UC_953,Hardware
UC_954,E-commerce & direct-to-consumer
UC_957,Fintech
UC_958,Fintech
UC_959,Internet software & services
UC_960,Internet software & services
UC_961,"Supply chain, logistics, & delivery"
UC_962,Consumer & retail
UC_963,"B Capital Group, Monk's Hill Ventures, Dynamic Parcel Distribution"
UC_964,Edtech
UC_965,Health
UC_966,Fintech
UC_967,E-commerce & direct-to-consumer
UC_968,Fintech
UC_969,Data management & analytics
UC_970,Internet software & services
UC_971,Fintech
UC_972,Fintech
UC_973,Fintech
UC_974,Health
UC_975,"Supply chain, logistics, & delivery"
UC_976,"Supply chain, logistics, & delivery"
UC_977,Artificial intelligence
UC_978,Internet software & services
UC_979,Internet software & services
UC_980,Internet software & services
UC_981,Cybersecurity
UC_982,Consumer & retail
UC_983,Internet software & services
UC_984,Cybersecurity
UC_985,Fintech
UC_986,Hardware
UC_987,Other
UC_988,E-commerce & direct-to-consumer
UC_989,Internet software & services
UC_991,Artificial Intelligence
UC_992,Cybersecurity
UC_993,Internet software & services
UC_994,Fintech
UC_995,Fintech
UC_996,Internet software & services
UC_997,Fintech
UC_998,Internet software & services
UC_999,Artificial Intelligence
UC_1000,Data management & analytics
UC_1001,Cybersecurity
UC_1002,E-commerce & direct-to-consumer
UC_1003,Other
UC_1004,Fintech
UC_1005,E-commerce & direct-to-consumer
UC_1006,Internet software & services
UC_1007,Health
UC_1008,Cybersecurity
UC_1009,Consumer & retail
UC_1010,Travel
UC_1011,Artificial Intelligence
UC_1012,Consumer & retail
UC_1013,Other
UC_1014,"Temasek, Guggenheim Investments, Qatar Investment Authority"
UC_1015,Data management & analytics
UC_1016,"Supply chain, logistics, & delivery"
UC_1017,Fintech
UC_1018,Artificial intelligence
UC_1019,Cybersecurity
UC_1020,Internet software & services
UC_1021,Data management & analytics
UC_1022,Internet software & services
UC_1023,Fintech
UC_1024,Artificial intelligence
UC_1025,Data management & analytics
UC_1026,"Supply chain, logistics, & delivery"
UC_1027,Fintech
UC_1029,Internet software & services
UC_1030,Cybersecurity
UC_1031,Internet software & services
UC_1032,Internet software & services
UC_1033,Fintech
UC_1034,Health
UC_1035,Cybersecurity
UC_1036,Internet software & services
