,Month,Company/Brand,Founded,Headquarters,Sector,Investor/s,Amount ($),Stage
807,June,Airblack,2019.0,Gurugram,IT startup,"Edge Ventures, Elevation Capital",5200000,Series A
809,June,Intervue,2021.0,New Delhi,SaaS startup,"Titan Capital, Kunal Shah",Undisclosed,Seed
810,June,Nestroots,2016.0,Gurugram,Fashion,We Founder Circle,100000,Seed
811,June,Detect Technologies,2016.0,Chennai,Automation,"Accel Partners, Elevation Capital",12000000,Pre-series B
812,June,CredR,2015.0,Bangalore,Automotive,"Yamaha Motors, Omidyar Network India, Eight Roads Ventures",6500000,Pre-series B
813,June,Fourth Partner Energy,2010.0,Hyderabad,Solar,"Norfund, The Rise Fund",125000000,Pre-series B
814,June,TABLT,2018.0,Kolkata,Healthcare,Siti Cable,3000000,Pre-series A
815,June,Hesa,2020.0,Hyderabad,IT startup,"Venture Catalysts, 9Unicorns",2000000,Seed
816,June,Powerhouse91,2020.0,Gurugram,Consumer goods,Crossbeam Venture Partners,Undisclosed,Seed
817,June,Nalanda Learning,2011.0,Kolkata,EdTech,Aavishkaar Capital,5000000,Pre-series B
818,June,Chargeup,2019.0,New Delhi,Renewable Energy,Mapmyindia,Undisclosed,Pre-series A
819,June,Knackit,2019.0,Bangalore,IT startup,Jyoti Bansal,100000,Pre-series B
820,June,Treebo Hotels,2015.0,Bangalore,Hospitality,Accor,16000000,Series C
821,June,Raptee Energy,2019.0,Chennai,Automotive,,700000,Pre-series B
822,June,Meddo,2018.0,Gurugram,Healthcare,"SRI Capital, Picus Capital, Alkemi Capital",6000000,Pre-series B
825,May,ParkSmart,2018.0,New Delhi,Automotive,"Shireen Rangaswamy, Dilesh Gathani",Undisclosed,Seed
826,May,Virohan,2018.0,Gurugram,EdTech,"Rebright Partners, Wadhwani Foundation",3000000,Series A
828,May,Spark Studio,2020.0,Bangalore,EdTech,Better Capital,Undisclosed,Seed
829,May,BlissClub,2020.0,Bangalore,Fashion ,Elevation Capital,2000000,Seed
830,May,BricSpaces,2018.0,Bangalore,Real estate,Angel investors,350000,Pre-seed
831,May,ANSR,2008.0,Bangalore,Consulting,"Sistema Asia Capital, Evolvence India Fund",15000000,Series B
832,May,Keito,2016.0,Pune,AI company,"Rajesh Agarwal, Nandkishore Mundada",Undisclosed,Seed
833,May,Reccy Adventures,2019.0,Gurugram,Sports startup,"Kallol Banerjee, Jaydeep Barman",400000,Seed
834,May,Magenta EV,2017.0,Mumbai,Renewable Energy,"JITO Angel Network, LetsVenture",15000000,Series A
836,May,Wysa,2015.0,Bangalore,AI company,"W Health Ventures, Pi Ventures",5000000,Series A
837,May,Agnikul,2017.0,Chennai,SpaceTech,"Artha India Ventures, Sriram Krishnan",11000000,Series A
839,May,Glamplus,2020.0,Bangalore,SaaS startup,Inflection Point Ventures,200000,Pre-series A
840,May,Tekie,2017.0,Gurugram,EdTech,"GSV, Multiply Ventures",1500000,Seed
841,May,Asirvad Microfinance,2007.0,Chennai,FinTech,"WorldBusiness Capital, Northern Arc",15000000,Pre-series B
842,May,Avalon Labs,2017.0,Bangalore,FinTech,"Tanglin Ventures, Better Capital, Whiteboard Capital",Undisclosed,Pre-series A
843,May,Betterhalf.ai,2016.0,Bangalore,Matrimony,"Y Combinator, Rehan A Khan",3000000,Pre-series A
844,May,Koo,2020.0,Bangalore,Social Media,"Balaji Srinivasan, Naval Ravikant",30000000,Series B
845,May,Rezo.ai,2017.0,Noida,AI startup,"Devesh Sachdev, Bhavesh Manglani",Undisclosed,Seed
846,May,Mentoria,2015.0,Mumbai,EdTech,"Pradeep K Jaisingh, Jayant Mehrotra",200000,Pre-series A
847,May,Cuvette Tech,2020.0,Bangalore,Human Resources,"Varun Alagh, Harish Daiya",1800000,Seed
848,May,Clensta,2016.0,New Delhi,BioTechnology,"IAN Fund, World Startup Factory",600000,Pre-series B
850,May,Kodo Card,2019.0,Mumbai,FinTech,"Brex, Y-Combinator",8000000,Seed
852,May,Get My Parking,2015.0,New Delhi,Mobility,"IvyCap Ventures, IAN Fund",6000000,Pre-series B
853,May,Cellestial,2019.0,Hyderabad,Electronics,"Gurj Aujla, Ashik K",500000,Pre-series A
854,May,FanCode,2019.0,Mumbai,Sports startup,Dream Sports,50000000,Pre-series B
855,May,Jai Kisan,2017.0,Mumbai,FinTech,"The Chatterjee Group, Prophetic Ventures",30000000,Series A
856,May,Plum,2019.0,Bangalore,HealthCare,"Harsh Jain, Lalit Keshre",15000000,Series A
857,May,ThatMate,2019.0,Satara,HealthCare,"Supriya Kumari, Premanshu Singh",140000,Pre-series B
858,May,Klassroom,2016.0,Mumbai,EdTech,ah! Ventures,200000,Pre-series A
859,May,Convin,2019.0,Bangalore,SaaS startup,"9Unicorns Accelerator Fund, Sunder Nookala",300000,Pre-seed
860,May,Mensa Brands,2021.0,Bangalore,Clothing,"Accel Partners, Falcon Edge Capital, Norwest Venture Partners",50000000,Series A
861,May,Disruptium,2021.0,Ahmadabad,Consulting,Pravesh Mehta,200000,Pre-series B
862,May,MedTel Healthcare,2017.0,Orissia,HealthCare,,5000000,Pre-series A
863,May,Pickright Technologies,2019.0,Bangalore,FinTech,"Gaurav Gupta, Vivek Srivatsav",200000,Pre-series B
864,May,Ingenium,2018.0,New Delhi,EdTech,Lead Angels,Undisclosed,Seed
866,May,RuleZero,2019.0,Bangalore,Tech Startup,"Induslaw, Reddy Futures",1000000,Seed
867,May,Rubix Data Sciences,2018.0,Mumbai,IT startup,,800000,Seed
868,May,Locobuzz,2011.0,Mumbai,Analytics,Yuj Ventures,4000000,Series A
869,May,We Founder Circle,2020.0,Mumbai,FinTech,Geekster,2000000,Pre-seed
870,May,Haqdarshak,2015.0,Jaipur,Finance,"Manish Subramaniam, Upaya Social Ventures",800000,Pre-series A
872,May,Enthu.ai,2020.0,Chandigarh,AI startup,Appit Simple Infotek,200000,Pre-series B
873,May,Myelin Foundry,2019.0,Bangalore,AI startup,Beyond Next Ventures,1000000,Pre-series A
874,May,SuperOps.ai,2020.0,Chennai,AI startup,"Ramakant Sharma, Elevation Capital",3000000,Seed
875,May,6Degree,2014.0,Mumbai,Retail,"Keiretsu Forum, SucSEED Venture Partners",1000000,Pre-series B
877,May,Sarathi,2020.0,Jodhpur,HealthCare,,100000,Seed
878,May,Jidoka Technologies,2018.0,Chennai,Software,,340000,Seed
883,May,Nivesh,2016.0,Noida,FinTech,"Raghav Kapur, Indian Angel Network",1600000,Pre-series A
884,May,Thingsup,2020.0,Pune,IoT platform,GSF Accelerator,1000000,Pre-series B
885,May,Arthya Wealth and Investments,2020.0,Mumbai,FinTech,"Rishi Kumar Bagla, Krishen Lal Khanna",1000000,Pre-series A
888,April,Lead School,2012.0,Mumbai,EdTech,"GSV Ventures, Westbridge Capital",30000000,Series C
890,April,FypMoney,2021.0,Gurugram,FinTech,"Liberatha Kallat, Mukesh Yadav, Dinesh Nagpal",2000000,Seed
892,April,Comofi Medtech,2018.0,Bangalore,HealthTech,"CIIE.CO, KIIT-TBI",200000,Pre-series B
893,April,Qube Health,2016.0,Mumbai,HealthTech,Inflection Point Ventures,Undisclosed,Pre-series A
895,April,Taikee,2010.0,Mumbai,E-commerce ,,1000000,Pre-series B
896,April,Fitterfly,2016.0,Mumbai,HealthTech,"9Unicorns Accelerator Fund, Metaform Ventures",3000000,Pre-series A
897,April,FreeStand,2017.0,New Delhi,B2B service,"SucSEED Indovation, IIM Calcutta Innovation Park",100000,Pre-series B
898,April,MyDentalPlan,2014.0,Bangalore,Helathcare,Safe Planet Medicare,700000,Seed
899,April,Freyr Energy,2014.0,Hyderabad,Renewable Energy,"Impact Partners, C4D Partners",2000000,Pre-series B
901,April,Tessolve,1993.0,Bangalore,Electronics,Novo Tellus Capital,40000000,Pre-series B
902,April,Smart Joules,2014.0,New Delhi,Renewable Energy,"Raintree Family Office, ADB arm",49000000,Pre-series B
903,April,ORAI,2020.0,Bangalore,IT startup,Inflection Point Ventures,400000,Pre-series A
904,April,ixamBee,2016.0,New Delhi,EdTech,"Mumbai Angels, Narendra Shyamsukha",300000,Seed
906,April,Razorpay,2014.0,Bangalore,FinTech,"Matrix Partners India, GIC",160000000,Series C
907,April,Uable,2020.0,Bangalore,EdTech,"Chiratae Ventures, JAFCO Asia",Undisclosed,Seed
909,April,Optimized Electrotech,2017.0,Ahmadabad,Aeorspace,GVFL,1800000,Pre-series A
910,April,Northern Arc,2008.0,Chennai,FinTech,"Kotak Mahindra Bank, FMO",5000000,Pre-series B
911,April,Chara,2019.0,Bangalore,Deep Tech,Kalaari Capital,850000,Seed
914,April,TrulyMadly,2013.0,New Delhi,Dating ,"Gaurav Munjal, Snehil Khanor",2000000,Pre-series A
916,April,Jambox Games,2021.0,Bangalore,Gaming,,1100000,Seed
918,April,SuperK,2019.0,"Small Towns, Andhra Pradesh",Retail,STRIVE VC,800000,Seed
919,April,TagZ Foods,2019.0,Bangalore,Food ,Venture Catalysts,500000,Pre-series A
920,April,Fuel Buddy,2017.0,New Delhi,Oil and Energy,Jaipuria Family Office,1000000,Pre-series B
921,April,M1xchange,2017.0,Gurugram,FinTech,Amazon,10000000,Pre-series B
